contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-32	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	32	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										80		5.62		3.00E-04																																							3.58E-03		2.97E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-33	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	33	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										80		31.59		3.00E-04																																							3.26E-03		2.79E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-34	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	34	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										80		177.56		3.00E-04																																							2.96E-03		2.64E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-35	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	35	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										80		997.34		3.00E-04																																							2.67E-03		2.46E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-36	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	36	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		1		3.00E-04																																							4.60E-03		3.90E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-37	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	37	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		5.62		3.00E-04																																							4.18E-03		3.61E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-38	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	38	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		31.59		3.00E-04																																							3.78E-03		3.38E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-39	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	39	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		177.56		3.00E-04																																							3.43E-03		3.21E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-40	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	40	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		997.34		3.00E-04																																							3.08E-03		2.99E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-41	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	41	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										100		1		3.00E-04																																							5.31E-03		4.56E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-42	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	42	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										100		5.62		3.00E-04																																							4.82E-03		4.29E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-43	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	43	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										100		31.59		3.00E-04																																							4.36E-03		4.04E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-44	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	44	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										100		177.56		3.00E-04																																							3.93E-03		3.82E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-45	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	45	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										100		997.34		3.00E-04																																							3.51E-03		3.56E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-46	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	46	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		1		3.00E-04																																							6.04E-03		5.10E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-47	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	47	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		5.62		3.00E-04																																							5.49E-03		4.91E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-48	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	48	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		31.59		3.00E-04																																							4.96E-03		4.68E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-49	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	49	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		177.56		3.00E-04																																							4.47E-03		4.49E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-50	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	50	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		997.34		3.00E-04																																							3.98E-03		4.18E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-51	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	51	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		1		3.00E-04																																							6.71E-03		5.37E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-52	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	52	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		5.62		3.00E-04																																							6.13E-03		5.33E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-53	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	53	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		31.59		3.00E-04																																							5.55E-03		5.21E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-54	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	54	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		177.56		3.00E-04																																							5.00E-03		5.03E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-55	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	55	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		997.34		3.00E-04																																							4.45E-03		4.67E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-56	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	56	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										130.01		1		3.00E-04																																							7.31E-03		5.38E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-57	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	57	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										130.01		5.62		3.00E-04																																							6.73E-03		5.51E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-58	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	58	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										130.01		31.59		3.00E-04																																							6.13E-03		5.55E-04		2016-04-15T14:55:59.000-05:00					
